# exploratory, not prespecified; post hoc, outside the frozen analysis plan at commit 98b5e09199a5eef0c46be452793e953f5a2af31e
level,structure_id,inchikey,inchikey_first_block,members,labels,tested,distinct_organisms,distinct_genera,distinct_families,distinct_references,lotus_rows
structure,KQAZVFVOEIRWHN-YHMJZVADSA-N,KQAZVFVOEIRWHN-YHMJZVADSA-N,KQAZVFVOEIRWHN,KQAZVFVOEIRWHN-YHMJZVADSA-N,unknown,false,228,112,24,184,2654
structure,FAMPSKZZVDUYOS-HRGUGZIWSA-N,FAMPSKZZVDUYOS-HRGUGZIWSA-N,FAMPSKZZVDUYOS,FAMPSKZZVDUYOS-HRGUGZIWSA-N,unknown,false,715,313,66,581,8347
structure,OGLDWXZKYODSOB-UHFFFAOYSA-N,OGLDWXZKYODSOB-UHFFFAOYSA-N,OGLDWXZKYODSOB,OGLDWXZKYODSOB-UHFFFAOYSA-N,unknown,false,461,187,39,327,5612
structure,MGSRCZKZVOBKFT-UHFFFAOYSA-N,MGSRCZKZVOBKFT-UHFFFAOYSA-N,MGSRCZKZVOBKFT,MGSRCZKZVOBKFT-UHFFFAOYSA-N,unknown,false,369,148,42,344,5345
structure,FUCYIEXQVQJBKY-ZFWWWQNUSA-N,FUCYIEXQVQJBKY-ZFWWWQNUSA-N,FUCYIEXQVQJBKY,FUCYIEXQVQJBKY-ZFWWWQNUSA-N,unknown,false,558,247,70,459,6199
structure,XZRVRYFILCSYSP-OAHLLOKOSA-N,XZRVRYFILCSYSP-OAHLLOKOSA-N,XZRVRYFILCSYSP,XZRVRYFILCSYSP-OAHLLOKOSA-N,unknown,false,226,122,39,195,2620
structure,RHLVCLIPMVJYKS-UHFFFAOYSA-N,RHLVCLIPMVJYKS-UHFFFAOYSA-N,RHLVCLIPMVJYKS,RHLVCLIPMVJYKS-UHFFFAOYSA-N,unknown,false,52,38,23,47,576
structure,WRHGORWNJGOVQY-RBSFLKMASA-N,WRHGORWNJGOVQY-RBSFLKMASA-N,WRHGORWNJGOVQY,WRHGORWNJGOVQY-RBSFLKMASA-N,unknown,false,277,155,50,221,2979
structure,GAIBLDCXCZKKJE-ACWLMNNXSA-N,GAIBLDCXCZKKJE-ACWLMNNXSA-N,GAIBLDCXCZKKJE,GAIBLDCXCZKKJE-ACWLMNNXSA-N,unknown,false,625,275,61,447,6565
structure,CCRCUPLGCSFEDV-BQYQJAHWSA-N,CCRCUPLGCSFEDV-BQYQJAHWSA-N,CCRCUPLGCSFEDV,CCRCUPLGCSFEDV-BQYQJAHWSA-N,unknown,false,30,21,16,28,291
structure,WTARULDDTDQWMU-UHFFFAOYSA-N,WTARULDDTDQWMU-UHFFFAOYSA-N,WTARULDDTDQWMU,WTARULDDTDQWMU-UHFFFAOYSA-N,unknown,false,920,290,67,763,12975
structure,JSNRRGGBADWTMC-NTCAYCPXSA-N,JSNRRGGBADWTMC-NTCAYCPXSA-N,JSNRRGGBADWTMC,JSNRRGGBADWTMC-NTCAYCPXSA-N,unknown,false,206,136,46,164,2001
structure,WRYLYDPHFGVWKC-UHFFFAOYSA-N,WRYLYDPHFGVWKC-UHFFFAOYSA-N,WRYLYDPHFGVWKC,WRYLYDPHFGVWKC-UHFFFAOYSA-N,unknown,false,591,216,56,499,8593
structure,YHQGMYUVUMAZJR-UHFFFAOYSA-N,YHQGMYUVUMAZJR-UHFFFAOYSA-N,YHQGMYUVUMAZJR,YHQGMYUVUMAZJR-UHFFFAOYSA-N,unknown,false,433,172,46,363,5809
structure,NDVASEGYNIMXJL-RGURZIINSA-N,NDVASEGYNIMXJL-RGURZIINSA-N,NDVASEGYNIMXJL,NDVASEGYNIMXJL-RGURZIINSA-N,unknown,false,77,38,13,60,412
structure,NDVASEGYNIMXJL-YHMJZVADSA-N,NDVASEGYNIMXJL-YHMJZVADSA-N,NDVASEGYNIMXJL,NDVASEGYNIMXJL-YHMJZVADSA-N,unknown,false,85,40,13,63,862
structure,HGJXAVROWQLCTP-YABCKIEDSA-N,HGJXAVROWQLCTP-YABCKIEDSA-N,HGJXAVROWQLCTP,HGJXAVROWQLCTP-YABCKIEDSA-N,unknown,false,21,12,6,31,206
structure,WQRYALSJYYLFRY-YEMLDNLKSA-N,WQRYALSJYYLFRY-YEMLDNLKSA-N,WQRYALSJYYLFRY,WQRYALSJYYLFRY-YEMLDNLKSA-N,unknown,false,1,1,1,1,6
structure,WUTXIOAKRFKQHK-IOVBSTNJSA-N,WUTXIOAKRFKQHK-IOVBSTNJSA-N,WUTXIOAKRFKQHK,WUTXIOAKRFKQHK-IOVBSTNJSA-N,unknown,false,4,4,2,4,48
structure,WQRYALSJYYLFRY-YBDKOUSASA-N,WQRYALSJYYLFRY-YBDKOUSASA-N,WQRYALSJYYLFRY,WQRYALSJYYLFRY-YBDKOUSASA-N,unknown,false,8,6,4,3,66
structure,WRXVPTMENPZUIZ-MOVIZTNPSA-N,WRXVPTMENPZUIZ-MOVIZTNPSA-N,WRXVPTMENPZUIZ,WRXVPTMENPZUIZ-MOVIZTNPSA-N,unknown,false,18,13,12,18,166
structure,AEOBNVBHRFQADS-DNDPRTLXSA-N,AEOBNVBHRFQADS-DNDPRTLXSA-N,AEOBNVBHRFQADS,AEOBNVBHRFQADS-DNDPRTLXSA-N,unknown,false,12,10,9,12,70
structure,WRXVPTMENPZUIZ-QEZWUOJGSA-N,WRXVPTMENPZUIZ-QEZWUOJGSA-N,WRXVPTMENPZUIZ,WRXVPTMENPZUIZ-QEZWUOJGSA-N,unknown,false,7,7,7,8,72
structure,ADTDXVDMEDYCKB-BGNXXHQXSA-N,ADTDXVDMEDYCKB-BGNXXHQXSA-N,ADTDXVDMEDYCKB,ADTDXVDMEDYCKB-BGNXXHQXSA-N,unknown,false,1,1,1,1,12
structure,RTATXGUCZHCSNG-KYGWAIEOSA-N,RTATXGUCZHCSNG-KYGWAIEOSA-N,RTATXGUCZHCSNG,RTATXGUCZHCSNG-KYGWAIEOSA-N,unknown,false,24,22,16,23,194
structure,ZFMSMUAANRJZFM-UHFFFAOYSA-N,ZFMSMUAANRJZFM-UHFFFAOYSA-N,ZFMSMUAANRJZFM,ZFMSMUAANRJZFM-UHFFFAOYSA-N,unknown,false,124,76,29,136,2191
structure,RRBYUSWBLVXTQN-UHFFFAOYSA-N,RRBYUSWBLVXTQN-UHFFFAOYSA-N,RRBYUSWBLVXTQN,RRBYUSWBLVXTQN-UHFFFAOYSA-N,unknown,false,111,50,20,82,1164
structure,HROZLGRKFUCIJJ-UHFFFAOYSA-N,HROZLGRKFUCIJJ-UHFFFAOYSA-N,HROZLGRKFUCIJJ,HROZLGRKFUCIJJ-UHFFFAOYSA-N,unknown,false,11,8,7,10,103
structure,NDVASEGYNIMXJL-UHFFFAOYSA-N,NDVASEGYNIMXJL-UHFFFAOYSA-N,NDVASEGYNIMXJL,NDVASEGYNIMXJL-UHFFFAOYSA-N,unknown,false,528,200,45,416,6554
structure,BFPYWIDHMRZLRN-SLHNCBLASA-N,BFPYWIDHMRZLRN-SLHNCBLASA-N,BFPYWIDHMRZLRN,BFPYWIDHMRZLRN-SLHNCBLASA-N,unknown,false,127,32,5,52,1231
structure,GJYKUZUTZNTBEC-UHFFFAOYSA-N,GJYKUZUTZNTBEC-UHFFFAOYSA-N,GJYKUZUTZNTBEC,GJYKUZUTZNTBEC-UHFFFAOYSA-N,unknown,false,43,23,10,22,416
structure,ITYNGVSTWVVPIC-LRUBOHGLSA-N,ITYNGVSTWVVPIC-LRUBOHGLSA-N,ITYNGVSTWVVPIC,ITYNGVSTWVVPIC-LRUBOHGLSA-N,unknown,false,79,19,7,23,796
structure,DUNCVNHORHNONW-UHFFFAOYSA-N,DUNCVNHORHNONW-UHFFFAOYSA-N,DUNCVNHORHNONW,DUNCVNHORHNONW-UHFFFAOYSA-N,unknown,false,11,11,9,10,132
structure,MXDMETWAEGIFOE-CABCVRRESA-N,MXDMETWAEGIFOE-CABCVRRESA-N,MXDMETWAEGIFOE,MXDMETWAEGIFOE-CABCVRRESA-N,unknown,false,145,72,32,88,1572
structure,PUECEVJMPDNNHT-UHFFFAOYSA-N,PUECEVJMPDNNHT-UHFFFAOYSA-N,PUECEVJMPDNNHT,PUECEVJMPDNNHT-UHFFFAOYSA-N,unknown,false,39,9,2,25,510
structure,VSJGJMKGNMDJCI-ZASXJUAOSA-N,VSJGJMKGNMDJCI-ZASXJUAOSA-N,VSJGJMKGNMDJCI,VSJGJMKGNMDJCI-ZASXJUAOSA-N,unknown,false,112,51,13,92,1178
structure,BCQNFYWIPQQTGS-UBYXKGFDSA-N,BCQNFYWIPQQTGS-UBYXKGFDSA-N,BCQNFYWIPQQTGS,BCQNFYWIPQQTGS-UBYXKGFDSA-N,unknown,false,5,2,2,4,58
structure,MQYXUWHLBZFQQO-QGTGJCAVSA-N,MQYXUWHLBZFQQO-QGTGJCAVSA-N,MQYXUWHLBZFQQO,MQYXUWHLBZFQQO-QGTGJCAVSA-N,unknown,false,1029,546,135,790,11178
structure,VYRIGRQQKUZPEX-UHFFFAOYSA-N,VYRIGRQQKUZPEX-UHFFFAOYSA-N,VYRIGRQQKUZPEX,VYRIGRQQKUZPEX-UHFFFAOYSA-N,unknown,false,64,13,2,38,852
structure,XMHIUKTWLZUKEX-UHFFFAOYSA-N,XMHIUKTWLZUKEX-UHFFFAOYSA-N,XMHIUKTWLZUKEX,XMHIUKTWLZUKEX-UHFFFAOYSA-N,unknown,false,85,69,46,68,947
structure,TUHVEAJXIMEOSA-UHFFFAOYSA-N,TUHVEAJXIMEOSA-UHFFFAOYSA-N,TUHVEAJXIMEOSA,TUHVEAJXIMEOSA-UHFFFAOYSA-N,unknown,false,24,17,13,13,259
structure,WQZGKKKJIJFFOK-SVZMEOIVSA-N,WQZGKKKJIJFFOK-SVZMEOIVSA-N,WQZGKKKJIJFFOK,WQZGKKKJIJFFOK-SVZMEOIVSA-N,unknown,false,52,42,32,44,625
structure,UFYGCFHQAXXBCF-UHFFFAOYSA-N,UFYGCFHQAXXBCF-UHFFFAOYSA-N,UFYGCFHQAXXBCF,UFYGCFHQAXXBCF-UHFFFAOYSA-N,unknown,false,5,4,4,5,52
structure,UQBOJOOOTLPNST-UHFFFAOYSA-N,UQBOJOOOTLPNST-UHFFFAOYSA-N,UQBOJOOOTLPNST,UQBOJOOOTLPNST-UHFFFAOYSA-N,unknown,false,3,3,3,3,28
structure,ZWLPBLYKEWSWPD-UHFFFAOYSA-N,ZWLPBLYKEWSWPD-UHFFFAOYSA-N,ZWLPBLYKEWSWPD,ZWLPBLYKEWSWPD-UHFFFAOYSA-N,unknown,false,3,3,3,3,32
structure,JVTAAEKCZFNVCJ-REOHCLBHSA-N,JVTAAEKCZFNVCJ-REOHCLBHSA-N,JVTAAEKCZFNVCJ,JVTAAEKCZFNVCJ-REOHCLBHSA-N,unknown,false,9,9,9,10,92
structure,ALRHLSYJTWAHJZ-UHFFFAOYSA-N,ALRHLSYJTWAHJZ-UHFFFAOYSA-N,ALRHLSYJTWAHJZ,ALRHLSYJTWAHJZ-UHFFFAOYSA-N,unknown,false,8,8,10,8,90
structure,VBUYCZFBVCCYFD-JJYYJPOSSA-N,VBUYCZFBVCCYFD-JJYYJPOSSA-N,VBUYCZFBVCCYFD,VBUYCZFBVCCYFD-JJYYJPOSSA-N,unknown,false,5,5,5,5,61
structure,AQTKXCPRNZDOJU-SYHAXYEDSA-N,AQTKXCPRNZDOJU-SYHAXYEDSA-N,AQTKXCPRNZDOJU,AQTKXCPRNZDOJU-SYHAXYEDSA-N,unknown,false,1,1,1,1,16
structure,RKCAIXNGYQCCAL-UHFFFAOYSA-N,RKCAIXNGYQCCAL-UHFFFAOYSA-N,RKCAIXNGYQCCAL,RKCAIXNGYQCCAL-UHFFFAOYSA-N,unknown,false,2,2,2,2,22
structure,ZIIAJIWLQUVGHB-UHFFFAOYSA-N,ZIIAJIWLQUVGHB-UHFFFAOYSA-N,ZIIAJIWLQUVGHB,ZIIAJIWLQUVGHB-UHFFFAOYSA-N,unknown,false,181,67,15,141,2104
structure,OVSQVDMCBVZWGM-DTGCRPNFSA-N,OVSQVDMCBVZWGM-DTGCRPNFSA-N,OVSQVDMCBVZWGM,OVSQVDMCBVZWGM-DTGCRPNFSA-N,unknown,false,725,303,97,569,9131
structure,IODGQWWTJYDCLN-UHFFFAOYSA-N,IODGQWWTJYDCLN-UHFFFAOYSA-N,IODGQWWTJYDCLN,IODGQWWTJYDCLN-UHFFFAOYSA-N,unknown,false,10,5,3,12,244
structure,SAMBWAJRKKEEOR-UHFFFAOYSA-N,SAMBWAJRKKEEOR-UHFFFAOYSA-N,SAMBWAJRKKEEOR,SAMBWAJRKKEEOR-UHFFFAOYSA-N,unknown,false,61,33,11,49,856
structure,OHOBPOYHROOXEI-JWMUNMLDSA-N,OHOBPOYHROOXEI-JWMUNMLDSA-N,OHOBPOYHROOXEI,OHOBPOYHROOXEI-JWMUNMLDSA-N,unknown,false,23,20,17,21,219
structure,KRFBMPVGAYGGJE-UHFFFAOYSA-N,KRFBMPVGAYGGJE-UHFFFAOYSA-N,KRFBMPVGAYGGJE,KRFBMPVGAYGGJE-UHFFFAOYSA-N,unknown,false,57,30,13,49,893
structure,KBGKQZVCLWKUDQ-QNDFHXLGSA-N,KBGKQZVCLWKUDQ-QNDFHXLGSA-N,KBGKQZVCLWKUDQ,KBGKQZVCLWKUDQ-QNDFHXLGSA-N,unknown,false,44,32,22,34,309
structure,VSUOKLTVXQRUSG-UHFFFAOYSA-N,VSUOKLTVXQRUSG-UHFFFAOYSA-N,VSUOKLTVXQRUSG,VSUOKLTVXQRUSG-UHFFFAOYSA-N,unknown,false,17,14,8,15,192
structure,GLZPCOQZEFWAFX-JXMROGBWSA-N,GLZPCOQZEFWAFX-JXMROGBWSA-N,GLZPCOQZEFWAFX,GLZPCOQZEFWAFX-JXMROGBWSA-N,unknown,false,323,160,61,313,4512
structure,KGEKLUUHTZCSIP-UHFFFAOYSA-N,KGEKLUUHTZCSIP-UHFFFAOYSA-N,KGEKLUUHTZCSIP,KGEKLUUHTZCSIP-UHFFFAOYSA-N,unknown,false,296,114,37,229,3716
structure,BOPIMTNSYWYZOC-VNHYZAJKSA-N,BOPIMTNSYWYZOC-VNHYZAJKSA-N,BOPIMTNSYWYZOC,BOPIMTNSYWYZOC-VNHYZAJKSA-N,unknown,false,236,110,41,195,2836
structure,HIGQPQRQIQDZMP-FLIBITNWSA-N,HIGQPQRQIQDZMP-FLIBITNWSA-N,HIGQPQRQIQDZMP,HIGQPQRQIQDZMP-FLIBITNWSA-N,unknown,false,85,53,20,72,953
structure,BQSLMQNYHVFRDT-LSDHHAIUSA-N,BQSLMQNYHVFRDT-LSDHHAIUSA-N,BQSLMQNYHVFRDT,BQSLMQNYHVFRDT-LSDHHAIUSA-N,unknown,false,141,82,23,103,1538
structure,YIRAHEODBQONHI-ZQNQSHIBSA-N,YIRAHEODBQONHI-ZQNQSHIBSA-N,YIRAHEODBQONHI,YIRAHEODBQONHI-ZQNQSHIBSA-N,unknown,false,181,86,27,144,1791
structure,FSRZGYRCMPZNJF-KHMAMNHCSA-N,FSRZGYRCMPZNJF-KHMAMNHCSA-N,FSRZGYRCMPZNJF,FSRZGYRCMPZNJF-KHMAMNHCSA-N,unknown,false,158,84,30,119,1753
structure,HLPIHRDZBHXTFJ-UHFFFAOYSA-N,HLPIHRDZBHXTFJ-UHFFFAOYSA-N,HLPIHRDZBHXTFJ,HLPIHRDZBHXTFJ-UHFFFAOYSA-N,unknown,false,5,5,5,5,58
structure,GLZPCOQZEFWAFX-YFHOEESVSA-N,GLZPCOQZEFWAFX-YFHOEESVSA-N,GLZPCOQZEFWAFX,GLZPCOQZEFWAFX-YFHOEESVSA-N,unknown,false,208,103,47,172,2597
structure,ULDHMXUKGWMISQ-VIFPVBQESA-N,ULDHMXUKGWMISQ-VIFPVBQESA-N,ULDHMXUKGWMISQ,ULDHMXUKGWMISQ-VIFPVBQESA-N,unknown,false,151,77,29,125,1044
structure,PGTJIOWQJWHTJJ-STQMWFEESA-N,PGTJIOWQJWHTJJ-STQMWFEESA-N,PGTJIOWQJWHTJJ,PGTJIOWQJWHTJJ-STQMWFEESA-N,unknown,false,167,93,41,122,1781
structure,WHWDWIHXSPCOKZ-UHFFFAOYSA-N,WHWDWIHXSPCOKZ-UHFFFAOYSA-N,WHWDWIHXSPCOKZ,WHWDWIHXSPCOKZ-UHFFFAOYSA-N,unknown,false,36,26,17,28,335
structure,FRMCCTDTYSRUBE-JYKNGBAOSA-N,FRMCCTDTYSRUBE-JYKNGBAOSA-N,FRMCCTDTYSRUBE,FRMCCTDTYSRUBE-JYKNGBAOSA-N,unknown,false,407,197,44,330,4284
structure,WBYWAXJHAXSJNI-VOTSOKGWSA-N,WBYWAXJHAXSJNI-VOTSOKGWSA-N,WBYWAXJHAXSJNI,WBYWAXJHAXSJNI-VOTSOKGWSA-N,inactive,true,231,147,86,190,2714
structure,DSSYKIVIOFKYAU-UHFFFAOYSA-N,DSSYKIVIOFKYAU-UHFFFAOYSA-N,DSSYKIVIOFKYAU,DSSYKIVIOFKYAU-UHFFFAOYSA-N,unknown,false,397,126,33,364,5882
structure,DTGKSKDOIYIVQL-UHFFFAOYSA-N,DTGKSKDOIYIVQL-UHFFFAOYSA-N,DTGKSKDOIYIVQL,DTGKSKDOIYIVQL-UHFFFAOYSA-N,unknown,false,244,85,28,143,2196
structure,LHXDLQBQYFFVNW-UHFFFAOYSA-N,LHXDLQBQYFFVNW-UHFFFAOYSA-N,LHXDLQBQYFFVNW,LHXDLQBQYFFVNW-UHFFFAOYSA-N,unknown,false,77,52,19,73,995
structure,PSQYTAPXSHCGMF-BQYQJAHWSA-N,PSQYTAPXSHCGMF-BQYQJAHWSA-N,PSQYTAPXSHCGMF,PSQYTAPXSHCGMF-BQYQJAHWSA-N,unknown,false,107,83,41,88,1266
structure,JARKCYVAAOWBJS-UHFFFAOYSA-N,JARKCYVAAOWBJS-UHFFFAOYSA-N,JARKCYVAAOWBJS,JARKCYVAAOWBJS-UHFFFAOYSA-N,unknown,false,127,88,46,99,1626
structure,ADIDQIZBYUABQK-RWMBFGLXSA-N,ADIDQIZBYUABQK-RWMBFGLXSA-N,ADIDQIZBYUABQK,ADIDQIZBYUABQK-RWMBFGLXSA-N,unknown,false,54,43,25,48,611
structure,RUVINXPYWBROJD-ONEGZZNKSA-N,RUVINXPYWBROJD-ONEGZZNKSA-N,RUVINXPYWBROJD,RUVINXPYWBROJD-ONEGZZNKSA-N,inactive,true,90,68,30,108,1609
structure,JSNRRGGBADWTMC-QINSGFPZSA-N,JSNRRGGBADWTMC-QINSGFPZSA-N,JSNRRGGBADWTMC,JSNRRGGBADWTMC-QINSGFPZSA-N,unknown,false,67,44,15,48,667
structure,BQZSFXARLMHSGX-UHFFFAOYSA-N,BQZSFXARLMHSGX-UHFFFAOYSA-N,BQZSFXARLMHSGX,BQZSFXARLMHSGX-UHFFFAOYSA-N,unknown,false,22,13,5,12,180
structure,UWKAYLJWKGQEPM-UHFFFAOYSA-N,UWKAYLJWKGQEPM-UHFFFAOYSA-N,UWKAYLJWKGQEPM,UWKAYLJWKGQEPM-UHFFFAOYSA-N,unknown,false,119,56,18,110,1560
structure,POIARNZEYGURDG-FNORWQNLSA-N,POIARNZEYGURDG-FNORWQNLSA-N,POIARNZEYGURDG,POIARNZEYGURDG-FNORWQNLSA-N,unknown,false,44,29,13,35,534
structure,WBYWAXJHAXSJNI-SREVYHEPSA-N,WBYWAXJHAXSJNI-SREVYHEPSA-N,WBYWAXJHAXSJNI,WBYWAXJHAXSJNI-SREVYHEPSA-N,unknown,false,12,9,7,12,134
structure,XMRKUJJDDKYUHV-SDFJSLCBSA-N,XMRKUJJDDKYUHV-SDFJSLCBSA-N,XMRKUJJDDKYUHV,XMRKUJJDDKYUHV-SDFJSLCBSA-N,unknown,false,40,26,15,24,332
structure,DUCIYIHTTCVNJA-UHFFFAOYSA-N,DUCIYIHTTCVNJA-UHFFFAOYSA-N,DUCIYIHTTCVNJA,DUCIYIHTTCVNJA-UHFFFAOYSA-N,unknown,false,121,71,21,90,693
structure,XMRKUJJDDKYUHV-ZCGSDFCLSA-N,XMRKUJJDDKYUHV-ZCGSDFCLSA-N,XMRKUJJDDKYUHV,XMRKUJJDDKYUHV-ZCGSDFCLSA-N,unknown,false,24,21,14,17,113
structure,FRMCCTDTYSRUBE-BGPZULBFSA-N,FRMCCTDTYSRUBE-BGPZULBFSA-N,FRMCCTDTYSRUBE,FRMCCTDTYSRUBE-BGPZULBFSA-N,unknown,false,501,217,44,393,5334
structure,YLYBTZIQSIBWLI-UHFFFAOYSA-N,YLYBTZIQSIBWLI-UHFFFAOYSA-N,YLYBTZIQSIBWLI,YLYBTZIQSIBWLI-UHFFFAOYSA-N,unknown,false,38,21,13,29,400
structure,XUEHVOLRMXNRKQ-KHMAMNHCSA-N,XUEHVOLRMXNRKQ-KHMAMNHCSA-N,XUEHVOLRMXNRKQ,XUEHVOLRMXNRKQ-KHMAMNHCSA-N,unknown,false,199,111,36,142,2077
structure,YGHRJJRRZDOVPD-UHFFFAOYSA-N,YGHRJJRRZDOVPD-UHFFFAOYSA-N,YGHRJJRRZDOVPD,YGHRJJRRZDOVPD-UHFFFAOYSA-N,unknown,false,30,21,18,24,326
structure,FQTLCLSUCSAZDY-GOFCXVBSSA-N,FQTLCLSUCSAZDY-GOFCXVBSSA-N,FQTLCLSUCSAZDY,FQTLCLSUCSAZDY-GOFCXVBSSA-N,unknown,false,154,105,38,130,1670
structure,GFJIQNADMLPFOW-VNHYZAJKSA-N,GFJIQNADMLPFOW-VNHYZAJKSA-N,GFJIQNADMLPFOW,GFJIQNADMLPFOW-VNHYZAJKSA-N,unknown,false,121,76,27,113,1402
structure,XZRVRYFILCSYSP-HNNXBMFYSA-N,XZRVRYFILCSYSP-HNNXBMFYSA-N,XZRVRYFILCSYSP,XZRVRYFILCSYSP-HNNXBMFYSA-N,unknown,false,163,104,30,153,1059
structure,XCYJPXQACVEIOS-UHFFFAOYSA-N,XCYJPXQACVEIOS-UHFFFAOYSA-N,XCYJPXQACVEIOS,XCYJPXQACVEIOS-UHFFFAOYSA-N,unknown,false,16,14,6,12,180
structure,QMVPMAAFGQKVCJ-UHFFFAOYSA-N,QMVPMAAFGQKVCJ-UHFFFAOYSA-N,QMVPMAAFGQKVCJ,QMVPMAAFGQKVCJ-UHFFFAOYSA-N,unknown,false,197,87,42,144,2494
structure,AOGQPLXWSUTHQB-UHFFFAOYSA-N,AOGQPLXWSUTHQB-UHFFFAOYSA-N,AOGQPLXWSUTHQB,AOGQPLXWSUTHQB-UHFFFAOYSA-N,unknown,false,47,35,24,33,498
structure,PPBRXRYQALVLMV-UHFFFAOYSA-N,PPBRXRYQALVLMV-UHFFFAOYSA-N,PPBRXRYQALVLMV,PPBRXRYQALVLMV-UHFFFAOYSA-N,unknown,false,15,12,13,13,163
structure,DKPFZGUDAPQIHT-UHFFFAOYSA-N,DKPFZGUDAPQIHT-UHFFFAOYSA-N,DKPFZGUDAPQIHT,DKPFZGUDAPQIHT-UHFFFAOYSA-N,unknown,false,26,22,18,22,310
structure,LUVOQVJUOOZWCS-UHFFFAOYSA-N,LUVOQVJUOOZWCS-UHFFFAOYSA-N,LUVOQVJUOOZWCS,LUVOQVJUOOZWCS-UHFFFAOYSA-N,unknown,false,1,1,1,1,14
structure,YMBFCQPIMVLNIU-SOUVJXGZSA-N,YMBFCQPIMVLNIU-SOUVJXGZSA-N,YMBFCQPIMVLNIU,YMBFCQPIMVLNIU-SOUVJXGZSA-N,unknown,false,66,39,20,47,673
structure,SQIFACVGCPWBQZ-UHFFFAOYSA-N,SQIFACVGCPWBQZ-UHFFFAOYSA-N,SQIFACVGCPWBQZ,SQIFACVGCPWBQZ-UHFFFAOYSA-N,unknown,false,37,16,8,24,431
structure,RGZSQWQPBWRIAQ-YSSOQSIOSA-N,RGZSQWQPBWRIAQ-YSSOQSIOSA-N,RGZSQWQPBWRIAQ,RGZSQWQPBWRIAQ-YSSOQSIOSA-N,unknown,false,46,34,16,40,549
structure,MLFHJEHSLIIPHL-UHFFFAOYSA-N,MLFHJEHSLIIPHL-UHFFFAOYSA-N,MLFHJEHSLIIPHL,MLFHJEHSLIIPHL-UHFFFAOYSA-N,unknown,false,16,14,13,14,176
structure,COGPRPSWSKLKTF-CBBWQLFWSA-N,COGPRPSWSKLKTF-CBBWQLFWSA-N,COGPRPSWSKLKTF,COGPRPSWSKLKTF-CBBWQLFWSA-N,unknown,false,78,54,34,62,826
structure,YMBFCQPIMVLNIU-KKUMJFAQSA-N,YMBFCQPIMVLNIU-KKUMJFAQSA-N,YMBFCQPIMVLNIU,YMBFCQPIMVLNIU-KKUMJFAQSA-N,unknown,false,39,30,19,29,348
structure,VMYXUZSZMNBRCN-UHFFFAOYSA-N,VMYXUZSZMNBRCN-UHFFFAOYSA-N,VMYXUZSZMNBRCN,VMYXUZSZMNBRCN-UHFFFAOYSA-N,unknown,false,115,76,23,103,1387
structure,LHYHMMRYTDARSZ-ZQDZILKHSA-N,LHYHMMRYTDARSZ-ZQDZILKHSA-N,LHYHMMRYTDARSZ,LHYHMMRYTDARSZ-ZQDZILKHSA-N,unknown,false,114,76,32,95,1341
structure,MTZQAGJQAFMTAQ-UHFFFAOYSA-N,MTZQAGJQAFMTAQ-UHFFFAOYSA-N,MTZQAGJQAFMTAQ,MTZQAGJQAFMTAQ-UHFFFAOYSA-N,unknown,false,18,16,15,16,226
structure,XUPYJHCZDLZNFP-UHFFFAOYSA-N,XUPYJHCZDLZNFP-UHFFFAOYSA-N,XUPYJHCZDLZNFP,XUPYJHCZDLZNFP-UHFFFAOYSA-N,unknown,false,18,14,13,13,157
structure,XDMOPVQNPWVPSX-UHFFFAOYSA-N,XDMOPVQNPWVPSX-UHFFFAOYSA-N,XDMOPVQNPWVPSX,XDMOPVQNPWVPSX-UHFFFAOYSA-N,unknown,false,74,50,33,57,736
structure,LHYHMMRYTDARSZ-BYNSBNAKSA-N,LHYHMMRYTDARSZ-BYNSBNAKSA-N,LHYHMMRYTDARSZ,LHYHMMRYTDARSZ-BYNSBNAKSA-N,unknown,false,227,143,49,202,2463
structure,XEKOWRVHYACXOJ-UHFFFAOYSA-N,XEKOWRVHYACXOJ-UHFFFAOYSA-N,XEKOWRVHYACXOJ,XEKOWRVHYACXOJ-UHFFFAOYSA-N,unknown,false,67,47,39,50,702
structure,WVHJBVPYIIBODU-UHFFFAOYSA-N,WVHJBVPYIIBODU-UHFFFAOYSA-N,WVHJBVPYIIBODU,WVHJBVPYIIBODU-UHFFFAOYSA-N,unknown,false,9,6,4,6,104
structure,FNTJVYCFNVUBOL-UHFFFAOYSA-N,FNTJVYCFNVUBOL-UHFFFAOYSA-N,FNTJVYCFNVUBOL,FNTJVYCFNVUBOL-UHFFFAOYSA-N,unknown,false,7,6,5,8,102
structure,ORHBXUUXSCNDEV-UHFFFAOYSA-N,ORHBXUUXSCNDEV-UHFFFAOYSA-N,ORHBXUUXSCNDEV,ORHBXUUXSCNDEV-UHFFFAOYSA-N,unknown,false,403,183,49,375,6395
structure,NNRLDGQZIVUQTE-UHFFFAOYSA-N,NNRLDGQZIVUQTE-UHFFFAOYSA-N,NNRLDGQZIVUQTE,NNRLDGQZIVUQTE-UHFFFAOYSA-N,unknown,false,23,17,11,16,232
structure,NPNUFJAVOOONJE-FLFDDASRSA-N,NPNUFJAVOOONJE-FLFDDASRSA-N,NPNUFJAVOOONJE,NPNUFJAVOOONJE-FLFDDASRSA-N,unknown,false,62,45,18,41,521
